category,subcategory,order,text
단어,,13,단어를 들었을 때 머릿속에 어떤 이미지가 떠오르나요?
단어,,14,"해당 단어는 일상적인가요, 아니면 특정 분야(예: 법, IT, 의학 등)의 전문용어인가요?"
단어,,15,그 단어를 써야 하는데 비슷한 다른 단어로 대체했던 적 있나요?
단어,,16,사전에서 찾아봤던 기억이 있나요? 어떤 앱이나 도구를 썼나요?
콘텐츠,영화,2,"어떤 장르였나요? (예: 액션, 로맨스, 스릴러, 느와르 등)"
콘텐츠,영화,3,등장하는 배우 이름이 기억나나요?
콘텐츠,영화,4,영화의 방영 연도는 언제쯤인가요?
콘텐츠,영화,5,어느 나라에서 제작된 영화인가요?
콘텐츠,영화,6,당시에 관객 수나 인기 정도가 기억나시나요?
콘텐츠,영화,7,영화에서 가장 기억에 남는 장면이 있었나요?
콘텐츠,영화,8,영화의 OST나 배경음이 떠오르시나요?
콘텐츠,영화,9,감독이나 제작사 정보가 기억나시나요?
콘텐츠,영화,10,이 영화를 누구와 함께 보셨나요?
콘텐츠,영화,11,영화 속 장소나 배경이 현실의 어떤 장소와 비슷했나요?
콘텐츠,영화,12,영화에서 등장한 특정 물건이나 대사 기억나세요?
콘텐츠,영화,13,해당 영화를 보고 난 후 어떤 기분이었나요?
콘텐츠,영화,14,영화와 관련된 키워드가 있다면 무엇인가요?
콘텐츠,영화,15,"이 영화를 처음 접한 경로는? (극장, OTT, TV 등)"
콘텐츠,노래,2,"노래의 장르는 무엇인가요? (발라드, 힙합, 팝송,트로트 등)"
콘텐츠,노래,3,그룹인가요? 솔로 인가요?
콘텐츠,노래,4,가수 이름이 기억나시나요?
콘텐츠,노래,5,가사의 일부가 기억나시나요?
콘텐츠,노래,6,노래가 나왔던 시기가 언제쯤인가요?
콘텐츠,노래,7,어디서 이 노래를 자주 들으셨나요?
콘텐츠,노래,8,노래방 인기차트에서 본 적 있나요?
콘텐츠,노래,9,노래와 관련된 특정 사람이나 장소가 기억나나요?
콘텐츠,노래,10,노래에 챌린지가 있나요?
콘텐츠,노래,11,질문 하시는 분은 몇년생이신가요?
콘텐츠,노래,12,뮤직비디오의 이미지가 떠오르시나요?
콘텐츠,노래,13,관련된 키워드가 있다면 무엇인가요?
콘텐츠,노래,14,유사한 노래가 있다면 어떤 곡인가요?
콘텐츠,노래,15,해당 노래는 앨범의 타이틀곡이었나요?
콘텐츠,드라마,2,등장하는 배우 이름이 기억나나요?
콘텐츠,드라마,3,주인공의 이름이나 직업이 떠오르시나요?
콘텐츠,드라마,4,드라마의 방영 연도는 대략 언제였나요?
콘텐츠,드라마,5,"드라마는 한국 드라마였나요, 외국 드라마였나요?"
콘텐츠,드라마,6,"드라마의 주 장르가 무엇이었나요? (로맨스, 스릴러, 시대극 등)"
콘텐츠,드라마,7,"드라마를 본 플랫폼은 어디였나요? (TV, 넷플릭스, 웨이브 등)"
콘텐츠,드라마,8,당시 이 드라마가 화제였나요? 친구들과 이야기 나눈 적 있나요?
콘텐츠,드라마,9,드라마 속 인상적인 장소나 배경이 기억나나요?
콘텐츠,드라마,10,등장인물 중 누구에게 감정이입을 많이 하셨나요?
콘텐츠,드라마,11,기억에 남는 OST나 음악이 있었나요?
콘텐츠,드라마,12,주요 사건이나 반전 장면이 기억나시나요?
콘텐츠,드라마,13,드라마 속에서 인상적인 복장이나 아이템이 있었나요?
콘텐츠,드라마,14,"드라마의 엔딩이 해피엔딩이었나요, 세드엔딩이었나요?"
콘텐츠,드라마,15,드라마 속 인물의 말투나 성격이 기억에 남나요?
콘텐츠,애니메이션,2,"방영 플랫폼은 어디였나요? (예: 넷플릭스, 애니플러스, 유튜브 등)"
콘텐츠,애니메이션,3,애니메이션의 인기도를 1~5로 매긴다면?
콘텐츠,애니메이션,4,유명한 성우의 목소리가 기억나나요?
콘텐츠,애니메이션,5,"애니의 장르는 무엇이었나요? (액션, 로맨스, 일상, 판타지 등)"
콘텐츠,애니메이션,6,애니의 주인공 이름이나 생김새가 떠오르나요?
콘텐츠,애니메이션,7,오프닝/엔딩 노래가 기억나나요?
콘텐츠,애니메이션,8,"배경이 현실 세계였나요, 판타지 세계였나요?"
콘텐츠,애니메이션,9,"애니를 어디서 보셨나요? (집, 학교, PC방 등)"
콘텐츠,애니메이션,10,친구나 가족과 함께 본 적 있나요?
콘텐츠,애니메이션,11,"극장판 애니메이션이었나요, TV 시리즈였나요?"
콘텐츠,애니메이션,12,명장면이나 눈물 나는 장면이 있었나요?
콘텐츠,애니메이션,13,캐릭터 중 누구를 가장 좋아했나요?
콘텐츠,애니메이션,14,"이 애니는 추천을 받았나요, 우연히 보게 되었나요?"
콘텐츠,애니메이션,15,지금 다시 보면 어떤 감정이 들 것 같나요?
꿈,,2,"어떤 장소였나요? (예: 학교, 병원, 미로, 바다 등)"
꿈,,3,꿈속에 자신 말고 누가 있었나요?
꿈,,4,시간대는 밤이었나요? 낮이었나요?
꿈,,5,특별한 소리나 음악이 들렸나요?
꿈,,6,"꿈속에서 감정이 강하게 느껴졌나요? (공포, 기쁨, 혼란 등)"
꿈,,7,"말이 통했나요, 아니면 소리 없이 상황이 진행됐나요?"
꿈,,8,현실에서와는 다르게 행동했나요?
꿈,,9,꿈에서 도망치거나 쫓겼던 적이 있나요?
꿈,,10,이 꿈을 누군가에게 말해본 적이 있나요?
꿈,,11,현실에서는 불가능한 일이 일어났나요?
꿈,,12,동물이나 괴물 같은 존재가 등장했나요?
꿈,,13,꿈속에서 특정 냄새가 났던 기억이 있나요?
꿈,,14,꿈이 끝나는 장면이 기억나나요?
꿈,,15,깨고 난 뒤 어떤 기분이었나요?
기타,,2,이 기억은 어떤 감정에서 시작되었나요?
기타,,3,머릿속에 첫 이미지로 떠오르는 장면은 무엇인가요?
기타,,4,관련된 소리나 배경음이 떠오르나요?
기타,,5,냄새나 촉감 같은 감각적인 정보가 있나요?
기타,,6,기억과 관련된 사람의 얼굴이나 이름이 기억나나요?
기타,,7,최근에 비슷한 경험이 있었나요?
기타,,8,"스마트폰이나 PC, 캘린더, 메모장, 사진첩에 단서가 있었나요?"
기타,,9,그 일이 계절적으로 언제쯤이었나요?
기타,,10,"공간적으로 실내였나요, 실외였나요?"
기타,,11,당시 입었던 옷이나 날씨가 기억나나요?
기타,,12,특별한 물건이나 상징이 있었나요?
기타,,13,관련 키워드를 자유롭게 말해본다면?
기타,,14,"그 기억이 떠오르면 신체 반응(눈물, 소름 등)이 있나요?"
기타,,15,지금 떠오른 어떤 단서라도 자유롭게 말해볼래요?
